0.45, 0, 0
0.9, 0, 0
1.35, 0, 0
1.53, 0.0019, 0.19
1.695, 0.0173, 1.7
1.76, 0.0337, 3.37
1.8, 0.05, 5
1.83, 0.0571, 5.7
1.85, 0.0654, 6.54
1.868, 0.0721, 7.21
1.92, 0.0766, 7.66
2.05, 0.0777, 7.77
1.91, 0.0963, 9.63
1.949, 0.116, 11.6
1.978, 0.1317, 13.2
2.005, 0.145, 14.5
2.06, 0.1536, 15.36
2.159, 0.2488, 24.88
2.20, 0.2745, 27.45
2.28, 0.2906, 29.06
2.29, 0.3495, 34.95
2.353, 0.387, 38.7
2.457, 0.4099, 40.99
2.651, 0.4152, 41.52
2.704, 0.6993, 69.93
